Date,FTSE SMALL CAP - PRICE INDEX,FTSE 350 GEN RETAILERS £ - PRICE INDEX,FTSE 350 MINING £ - PRICE INDEX,FTSE 350 BANKS £ - PRICE INDEX,FTSE 350 AERO/DEFENCE £ - PRICE INDEX,FTSE 350 CHEMICALS £ - PRICE INDEX,FTSE 350 FD & DRUG RTL £ - PRICE INDEX,FTSE 350 FD PRODUCERS £ - PRICE INDEX,FTSE 350 GENERAL INDS £ - PRICE INDEX,FTSE 350 MEDIA £ - PRICE INDEX
31/12/1985,843.91,993.6,1003.7,971.6,1042.3,1047.7,993.3,1017.8,954.6,1103
01/01/1986,843.91,993.6,1003.7,971.6,1042.3,1047.7,993.3,1017.8,954.6,1103
02/01/1986,846.07,999.7,1008.4,971.7,1046.5,1047.6,998.8,1018.8,959,1102.7
03/01/1986,850.87,1007.8,1015.1,964.9,1061.2,1049.1,1003.1,1018.1,963.2,1107.4
06/01/1986,855.15,998.7,1020.5,963.4,1063.1,1054.7,1002.1,1014.7,959.1,1103.6
07/01/1986,850.11,957.5,1018.7,949.3,1067.9,1053.3,992.1,1006,961.4,1093.9
08/01/1986,846.23,948.4,1022.7,944.3,1055.2,1050.7,982.8,1002.9,952.3,1088
09/01/1986,835.58,932.8,1010.4,933.7,1027.7,1034.2,959.4,973.6,927.5,1062.2
10/01/1986,836.61,946.4,1026,942.9,1033.7,1031.6,965.8,977.7,939.4,1081.9
13/01/1986,840.95,943.1,1033.5,942.8,1022.7,1027.4,966.6,974.3,938.1,1088.5
14/01/1986,836.13,924.3,1041.5,932.4,1002.8,1024,946.4,961.1,927.8,1079.7
15/01/1986,837.8,923.9,1045.9,933.8,999.6,1026.2,946.7,967,932.9,1077.9
16/01/1986,843.17,947,1049.1,945.4,1007.2,1034.9,953,977.7,947.8,1092.4
17/01/1986,845.56,949.8,1040.4,977,1000.8,1034.9,949.4,986.1,950,1100.9
20/01/1986,845.38,931.9,1058.8,959.5,989.7,1032.5,926.7,980.2,929.5,1104.6
21/01/1986,842.13,926.4,1050.3,949.2,983,1037.9,911.2,971.6,919.5,1108
22/01/1986,843.41,935.4,1055.3,950.1,979.9,1059.4,927.1,976.4,923.9,1107.4
23/01/1986,842.32,911.1,1054.7,923.9,954.2,1067,916.6,970.8,938.2,1103.4
24/01/1986,845.5,925.5,1068.3,926.9,954,1067.8,926.1,971.8,951.7,1094.5
27/01/1986,850.53,945.5,1103.6,932.6,961.1,1072.5,934.8,991.2,958.5,1109.6
28/01/1986,857.61,969.4,1095.2,938.8,969.2,1083.4,952.4,1004.7,966.8,1124.4
29/01/1986,862.95,960.7,1093,944.3,982.2,1088.8,957.2,1004,955.1,1128.2
30/01/1986,869.06,966.7,1095.4,951.2,1000.5,1091.6,964.8,1009.4,961.6,1129.9
31/01/1986,877.02,972.7,1100.4,948.4,997.5,1103.4,965.2,1012.6,965.1,1124.3
03/02/1986,878.64,950.2,1092,928.2,993.7,1115.6,960.8,1010,961,1131.3
04/02/1986,877.7,967.2,1078.3,931.3,992,1124.7,952.8,1008.2,967.9,1132.6
05/02/1986,878.09,955.5,1077.1,931.2,997.1,1121.2,958.3,1001.6,968.9,1144.6
06/02/1986,880.65,950.5,1077.1,930.7,996,1118.2,958.4,1003.3,970.7,1146.2
07/02/1986,884,970.4,1075.8,962.1,997.9,1118.1,956.9,1003.3,991.8,1150.3
10/02/1986,889.18,993.8,1090,960.5,999.1,1132.3,974.8,1018.8,1003.3,1167.7
11/02/1986,892.69,1006.5,1102.1,953.6,991.2,1128.3,971.3,1017.8,995.8,1167.6
12/02/1986,896.58,1011,1112.2,964.1,997.1,1152.3,977.5,1023.9,1014.9,1170
13/02/1986,900.89,1007.5,1109,963.8,998.2,1154.8,986.3,1026.8,1021,1170
14/02/1986,904.83,1007.9,1098.1,964.9,1012.2,1160.7,1000.7,1039.6,1015.7,1175.5
17/02/1986,908.97,995.1,1089.6,964.3,1018.3,1158.7,998.4,1034.8,1011.1,1177.5
18/02/1986,913.63,1019.5,1078.1,970.1,1094.6,1163.1,997.9,1035.1,1011.7,1184.1
19/02/1986,915.73,1027.5,1088.4,975,1086,1168.7,997.8,1035.7,1015.4,1194.3
